date,ticker,entry_price,z_vol,z_range,z_flow,z_lambda,entry_status,initial_score,price_d1,price_d3,price_d5,return_d1,return_d3,return_d5,is_completed,resilience_score,excess_return,rel_1m_pct,rel_3m_pct,trend_persistence,non_price_score,flow_score,activity_score,liquidity_score,overnight_risk,meta_score,risk_adjusted_score,regime,regime_confidence,crash_resilient,crash_survivor
2026-09-08,GMTAS,48.8,0.96,6.0,0.81,0.3,🎯 İDEAL GİRİŞ BÖLGESİ,76.4,50.0,49.32,50.3,2.46,1.07,3.07,1,,,,,,,,,,,,,,,,
2026-09-08,LRSHO,2.53,1.36,-2.0,2.1,1.1,🎯 İDEAL GİRİŞ BÖLGESİ,73.3,2.52,2.46,2.43,-0.4,-2.77,-3.95,1,,,,,,,,,,,,,,,,
2026-09-08,MERCN,19.13,1.61,1.07,2.38,0.7,🎯 İDEAL GİRİŞ BÖLGESİ,70.2,19.04,18.96,18.4,-0.47,-0.89,-3.82,1,,,,,,,,,,,,,,,,
2026-09-08,FLAP,11.97,0.51,0.18,2.22,2.48,🎯 İDEAL GİRİŞ BÖLGESİ,68.0,13.19,13.19,13.16,10.19,10.19,9.94,1,,,,,,,,,,,,,,,,
2026-09-08,BIGCH,5.77,-0.29,-1.6,3.68,2.11,NORMAL GİRİŞ,67.7,5.74,5.44,5.44,-0.52,-5.72,-5.72,1,,,,,,,,,,,,,,,,
2026-09-08,YGGYO,223.0,-0.69,6.0,1.52,1.48,🎯 İDEAL GİRİŞ BÖLGESİ,67.2,224.1,223.6,223.6,0.49,0.27,0.27,1,,,,,,,,,,,,,,,,
2026-09-08,AKSA,11.47,4.38,-0.55,2.44,0.18,🎯 İDEAL GİRİŞ BÖLGESİ,67.1,11.42,11.39,11.09,-0.44,-0.7,-3.31,1,,,,,,,,,,,,,,,,
2026-09-08,EGEEN,5537.5,2.58,6.0,3.83,1.1,⚠️ GEÇ KALINDI (Tepeden Alım Riski),99.5,5845.0,6027.5,6522.5,5.55,8.85,17.79,1,,,,,,,,,,,,,,,,
2026-09-08,RAYSG,158.1,3.77,6.0,2.56,1.27,🎯 İDEAL GİRİŞ BÖLGESİ,99.5,152.5,,,-3.54,,,0,,,,,,,,,,,,,,,,
2026-09-08,PRKAB,33.66,6.0,4.5,4.0,0.96,⚠️ GEÇ KALINDI (Tepeden Alım Riski),99.1,33.88,31.82,29.7,0.65,-5.47,-11.76,1,,,,,,,,,,,,,,,,
2026-09-08,PARSN,73.8,4.89,6.0,1.74,1.53,NORMAL GİRİŞ,97.1,66.85,66.85,66.85,-9.42,-9.42,-9.42,1,,,,,,,,,,,,,,,,
2026-09-08,ARMGD,189.8,6.0,6.0,3.76,0.25,⚠️ GEÇ KALINDI (Tepeden Alım Riski),95.4,184.5,178.0,160.2,-2.79,-6.22,-15.6,1,,,,,,,,,,,,,,,,
2026-09-08,BFREN,128.3,1.65,6.0,0.62,0.91,🎯 İDEAL GİRİŞ BÖLGESİ,92.1,129.3,128.8,127.0,0.78,0.39,-1.01,1,,,,,,,,,,,,,,,,
2026-09-08,SISE,45.82,6.0,6.0,3.93,0.02,⚠️ GEÇ KALINDI (Tepeden Alım Riski),91.5,47.44,44.98,43.52,3.54,-1.83,-5.02,1,,,,,,,,,,,,,,,,
2026-09-08,RUZYE,9.19,1.74,-0.33,3.92,1.46,⚠️ GEÇ KALINDI (Tepeden Alım Riski),89.2,9.85,9.46,8.83,7.18,2.94,-3.92,1,,,,,,,,,,,,,,,,
2026-09-08,BVSAN,121.7,0.45,6.0,3.78,1.49,⚠️ GEÇ KALINDI (Tepeden Alım Riski),88.9,133.8,128.8,119.6,9.94,5.83,-1.73,1,,,,,,,,,,,,,,,,
2026-09-08,CLEBI,1474.0,-0.11,6.0,3.83,1.09,NORMAL GİRİŞ,88.7,1475.0,1463.0,1445.0,0.07,-0.75,-1.97,1,,,,,,,,,,,,,,,,
2026-09-08,YKSLN,3.17,4.87,-1.45,3.83,1.42,⚠️ GEÇ KALINDI (Tepeden Alım Riski),88.2,3.48,4.2,4.62,9.78,32.49,45.74,1,,,,,,,,,,,,,,,,
2026-09-08,OTKAR,330.0,1.57,6.0,3.25,0.39,🎯 İDEAL GİRİŞ BÖLGESİ,88.1,328.0,320.0,313.5,-0.61,-3.03,-5.0,1,,,,,,,,,,,,,,,,
2026-09-08,GOLTS,302.5,2.26,6.0,3.38,0.61,NORMAL GİRİŞ,86.1,304.25,299.25,293.0,0.58,-1.07,-3.14,1,,,,,,,,,,,,,,,,
2026-09-08,IMASM,2.44,3.32,-1.98,4.0,1.52,⚠️ GEÇ KALINDI (Tepeden Alım Riski),86.0,2.37,2.31,2.27,-2.87,-5.33,-6.97,1,,,,,,,,,,,,,,,,
2026-09-08,HRKET,87.9,2.89,6.0,2.46,0.26,🎯 İDEAL GİRİŞ BÖLGESİ,84.6,86.7,80.6,81.65,-1.37,-8.3,-7.11,1,,,,,,,,,,,,,,,,
2026-09-08,MRSHL,1629.0,3.16,6.0,1.65,0.56,🎯 İDEAL GİRİŞ BÖLGESİ,84.3,1673.0,1788.0,1684.0,2.7,9.76,3.38,1,,,,,,,,,,,,,,,,
2026-09-08,KONYA,4062.5,6.0,6.0,2.53,0.52,NORMAL GİRİŞ,84.0,4065.0,4260.0,4300.0,0.06,4.86,5.85,1,,,,,,,,,,,,,,,,
2026-09-08,FROTO,82.8,1.6,5.75,3.84,0.03,🎯 İDEAL GİRİŞ BÖLGESİ,83.8,84.5,82.85,81.75,2.05,0.06,-1.27,1,,,,,,,,,,,,,,,,
2026-09-08,ALKIM,16.35,2.42,-0.42,2.88,1.24,🎯 İDEAL GİRİŞ BÖLGESİ,83.4,16.03,15.99,14.02,-1.96,-2.2,-14.25,1,,,,,,,,,,,,,,,,
2026-09-08,ERCB,47.5,5.43,6.0,2.27,0.77,NORMAL GİRİŞ,83.3,46.02,44.78,43.2,-3.12,-5.73,-9.05,1,,,,,,,,,,,,,,,,
2026-09-08,CMBTN,1559.0,3.53,6.0,0.93,0.76,🎯 İDEAL GİRİŞ BÖLGESİ,82.9,1560.0,1620.0,1580.0,0.06,3.91,1.35,1,,,,,,,,,,,,,,,,
