ticker,close,shock_score,z_vol,z_range,z_flow,z_lambda,tarih,realized_3d,realized_5d,watch_score,meta_score,risk_adjusted_score,resilience_score,excess_return,rel_1m_pct,rel_3m_pct,trend_persistence,flow_score,activity_score,liquidity_score,non_price_score,overnight_risk,current_positive,directional_flow_ok,crash_resilient,crash_survivor,extended_but_supported,meta_regime,meta_regime_confidence,meta_selection,model_variant,signal_score,regime_label,regime_confidence
EDIP,40.26,99.5,3.04,6.0,4.0,1.01,2026-08-31,-11.57,-11.62,,,,,,,,,,,,,,,,,,,,,,,,,
KARCL,153.9,93.2,5.19,6.0,3.27,0.04,2026-08-31,6.24,20.14,,,,,,,,,,,,,,,,,,,,,,,,,
DSTKF,2016.0,91.7,6.0,6.0,2.94,0.0,2026-08-31,6.75,15.08,,,,,,,,,,,,,,,,,,,,,,,,,
ANELE,190.8,90.7,6.0,6.0,1.04,0.01,2026-08-31,2.36,6.92,,,,,,,,,,,,,,,,,,,,,,,,,
TRHOL,3147.5,88.8,2.98,6.0,1.75,0.01,2026-08-31,9.45,15.17,,,,,,,,,,,,,,,,,,,,,,,,,
KONYA,3890.0,83.4,3.2,6.0,0.7,0.42,2026-08-31,-2.63,-0.39,,,,,,,,,,,,,,,,,,,,,,,,,
KARTN,166.2,81.7,2.97,6.0,0.66,0.34,2026-08-31,1.81,-3.73,,,,,,,,,,,,,,,,,,,,,,,,,
IEYHO,207.2,81.2,1.91,6.0,2.91,0.27,2026-08-31,2.85,3.57,,,,,,,,,,,,,,,,,,,,,,,,,
RYGYO,50.15,79.7,4.05,5.8,3.72,0.31,2026-08-31,-1.1,-1.46,,,,,,,,,,,,,,,,,,,,,,,,,
BLUME,41.94,78.2,1.65,6.0,2.3,0.17,2026-08-31,-1.38,-2.96,,,,,,,,,,,,,,,,,,,,,,,,,
PKART,135.0,99.5,-0.55,6.0,3.61,2.18,2026-09-01,-5.19,-5.19,,,,,,,,,,,,,,,,,,,,,,,,,
TURGG,28.78,97.1,2.43,2.7,1.3,1.13,2026-09-01,-2.08,-2.08,,,,,,,,,,,,,,,,,,,,,,,,,
ARTMS,42.3,85.9,-0.26,2.7,3.7,1.6,2026-09-01,1.75,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
AYCES,461.25,83.5,-0.55,6.0,0.51,1.03,2026-09-01,-4.82,-4.82,,,,,,,,,,,,,,,,,,,,,,,,,
TKNKA,169.8,81.8,0.0,6.0,1.97,0.09,2026-09-01,-9.36,-9.36,,,,,,,,,,,,,,,,,,,,,,,,,
AVPGY,56.4,80.2,-1.15,3.88,2.63,1.79,2026-09-01,-4.34,-4.34,,,,,,,,,,,,,,,,,,,,,,,,,
KARSN,10.55,74.8,1.12,-0.95,3.6,0.4,2026-09-01,20.19,20.19,,,,,,,,,,,,,,,,,,,,,,,,,
